pygame 2.6.0 (SDL 2.28.4, Python 3.12.4)
Hello from the pygame community. https://www.pygame.org/contribute.html
100
100
         12397737 function calls (12376331 primitive calls) in 13.219 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11984    0.002    0.000    0.002    0.000 main.py:83(set_closest_edge)
     1360    0.002    0.000    0.007    0.000 module.py:1711(__setattr__)
       87    0.002    0.000    0.042    0.000 dataclasses.py:921(_process_class)
    27127    0.002    0.000    0.002    0.000 {built-in method posix.fspath}
    12146    0.002    0.000    0.004    0.000 _parser.py:261(get)
      624    0.002    0.000    0.024    0.000 typing.py:694(Union)
      544    0.002    0.000    0.002    0.000 {method 'uniform_' of 'torch._C.TensorBase' objects}
    12040    0.002    0.000    0.002    0.000 {method 'partition' of 'str' objects}
      127    0.002    0.000    0.066    0.001 inspect.py:982(getmodule)
      383    0.002    0.000    0.004    0.000 enum.py:254(__set_name__)
     1080    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     1114    0.002    0.000    0.007    0.000 typing_extensions.py:3029(_collect_parameters)
     1015    0.002    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
     7949    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     4824    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:82(remove)
     1103    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      314    0.002    0.000    0.003    0.000 _compiler.py:243(_optimize_charset)
      559    0.002    0.000    0.004    0.000 enum.py:390(__setitem__)
        1    0.002    0.002    0.002    0.002 {built-in method torch._C._c10d_init}
     2059    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     5449    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
      272    0.002    0.000    0.027    0.000 linear.py:92(__init__)
      544    0.002    0.000    0.002    0.000 {built-in method _make_subclass}
    13523    0.002    0.000    0.002    0.000 _parser.py:240(__next)
     1121    0.002    0.000    0.009    0.000 inspect.py:945(getsourcefile)
       20    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
12760/12009    0.002    0.000    0.002    0.000 {built-in method builtins.hash}
    10766    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     3489    0.002    0.000    0.003    0.000 typing.py:166(_type_convert)
   1018/3    0.002    0.000    0.248    0.083 <frozen importlib._bootstrap_external>:989(exec_module)
     2080    0.002    0.000    0.003    0.000 random.py:242(_randbelow_with_getrandbits)
     3354    0.002    0.000    0.003    0.000 <frozen posixpath>:60(isabs)
     8722    0.002    0.000    0.002    0.000 _ops.py:596(__hash__)
     1519    0.002    0.000    0.009    0.000 typing.py:1165(__init__)
    11204    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     3086    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     9648    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      743    0.001    0.000    0.082    0.000 _pytree.py:903(tree_map_)
1129/1109    0.001    0.000    0.347    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      272    0.001    0.000    0.007    0.000 init.py:406(kaiming_uniform_)
      372    0.001    0.000    0.026    0.000 dataclasses.py:449(_create_fn)
     1072    0.001    0.000    0.001    0.000 {built-in method pygame.draw.circle}
       14    0.001    0.000    0.002    0.000 {method 'readlines' of '_io._IOBase' objects}
     1114    0.001    0.000    0.002    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
     2312    0.001    0.000    0.003    0.000 {built-in method builtins.max}
     4824    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1408    0.001    0.000    0.004    0.000 random.py:291(randrange)
 2636/452    0.001    0.000    0.033    0.000 {built-in method builtins.any}
     5005    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    11204    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     5992    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      136    0.001    0.000    0.037    0.000 main.py:30(__init__)
 1053/277    0.001    0.000    0.352    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      741    0.001    0.000    0.004    0.000 __init__.py:63(_convert_out_params)
